Cities,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Katsuura,0,JP,1586370116,76,35.13,140.3,60.01,8.05
Redlands,90,US,1586370262,81,34.06,-117.18,59.0,5.82
Viedma,0,AR,1586369999,20,-40.81,-63.0,71.94,13.11
Sunnyside,1,US,1586370263,33,46.32,-120.01,61.0,3.36
Longonjo,29,AO,1586370263,52,-12.91,15.25,67.19,1.03
Zaoyang,44,CN,1586370263,55,32.13,112.75,58.62,7.4
Lavrentiya,5,RU,1586369817,88,65.58,-171.0,1.98,6.93
Marzuq,0,YE,1586370264,25,14.4,46.47,76.26,7.38
Albertville,90,US,1586370264,78,34.27,-86.21,78.8,5.82
Huilong,90,CN,1586369879,66,31.81,121.66,64.0,1.99
Marsá Maţrūḩ,40,EG,1586370111,67,31.35,27.25,60.8,10.29
Darnah,39,LY,1586369973,68,32.77,22.64,56.26,21.74
Arrondissement de Mende,0,FR,1586370265,39,44.67,3.5,60.8,6.93
Havre-St-Pierre,1,CA,1586369833,58,50.23,-63.6,30.2,14.99
Mandiana,38,GN,1586370265,18,10.63,-8.68,99.95,1.36
Yangi Marg`ilon,90,UZ,1586369792,80,40.43,71.72,41.0,18.34
Slănic-Moldova,0,RO,1586370266,27,46.2,26.43,54.0,4.7
Mackay,40,AU,1586369562,88,-21.15,149.2,72.0,4.7
Bako,71,ET,1586370266,44,5.78,36.57,70.5,6.13
Wahiawā,75,US,1586370267,88,21.5,-158.02,75.2,2.1
Seddon,4,AU,1586370267,93,-37.81,144.89,57.2,6.93
Bandarbeyla,0,SO,1586370101,63,9.49,50.81,81.21,9.84
Ulladulla,40,AU,1586369915,93,-35.35,150.47,59.0,8.05
Alugan,3,PH,1586370268,83,12.22,125.48,79.81,9.31
Norfolk,90,US,1586370268,62,42.17,-71.25,55.99,10.29
Taksimo,3,RU,1586370268,82,56.34,114.88,27.27,1.34
Ishurdi,7,BD,1586370079,27,24.13,89.08,82.76,7.76
Malanje,1,AO,1586369986,64,-9.54,16.34,68.63,0.87
Cotonou,20,BJ,1586370270,74,6.37,2.42,87.8,16.11
Waingapu,73,ID,1586369793,77,-9.66,120.26,79.0,2.08
Camacha,40,PT,1586369820,77,33.08,-16.33,71.6,10.29
Catalina,40,US,1586370271,23,32.51,-110.92,80.01,12.75
Nizhniy Kuranakh,61,RU,1586370271,88,58.84,125.49,24.17,4.43
Anadyr,75,RU,1586369878,77,64.75,177.48,6.8,6.71
Kalmar,89,SE,1586370271,50,56.66,16.36,54.0,8.05
Arrondissement de Lisieux,48,FR,1586370271,56,49.17,0.17,68.0,5.82
Elko,1,US,1586369914,44,41.0,-115.5,60.01,12.75
Lucapa,51,AO,1586370272,68,-8.42,20.74,70.88,1.63
Chilmāri,2,BD,1586370272,28,25.56,89.67,78.57,11.41
Lindi,26,TZ,1586370273,82,-10.0,39.72,79.57,6.17
Khani,0,GE,1586370273,45,41.96,42.96,48.2,31.09
Shakhtinsk,84,KZ,1586370040,68,49.71,72.59,30.2,2.24
Bambanglipuro,100,ID,1586369828,78,-7.95,110.28,79.9,3.22
Jiwani,0,PK,1586370274,71,25.05,61.74,78.49,9.78
Praia,0,CV,1586369826,39,14.92,-23.51,84.2,23.04
Lodwar,22,KE,1586370274,35,3.12,35.6,90.09,23.33
Kenitra,100,MA,1586369979,76,34.26,-6.58,64.99,1.99
Omsukchan,98,RU,1586370009,80,62.53,155.8,12.94,3.02
Alice Springs,40,AU,1586369832,48,-23.7,133.88,64.4,4.7
Hasaki,20,JP,1586369812,87,35.73,140.83,51.8,6.93
Gafanha da Encarnação,40,PT,1586370276,93,40.62,-8.73,63.0,3.36
Igarka,100,RU,1586370276,94,67.47,86.58,31.91,16.78
Mainit,6,PH,1586370276,80,9.54,125.52,77.86,5.26
Moose Factory,1,CA,1586370277,63,51.26,-80.61,28.4,16.11
Kautokeino,76,NO,1586370277,90,69.01,23.04,28.54,23.42
Ko Samui,4,TH,1586370277,72,9.54,99.94,84.31,8.16
Waterfoot,33,GB,1586370278,52,53.69,-2.25,66.99,3.36
Shakawe,37,BW,1586370279,31,-18.37,21.85,74.79,2.1
Salalah,0,OM,1586369760,83,17.02,54.09,80.6,5.82
Tongzi,66,CN,1586370038,66,28.78,105.09,62.19,3.44
Nemuro,0,JP,1586370061,94,43.32,145.57,32.52,9.64
Tual,85,ID,1586370178,72,-5.67,132.75,83.62,5.91
Mehndāwal,44,IN,1586370280,31,26.98,83.11,78.98,9.86
Severo-Kuril'sk,99,RU,1586369789,96,50.68,156.12,30.15,3.47
Pangnirtung,20,CA,1586369911,67,66.15,-65.71,19.4,1.81
Ponta Delgada,20,PT,1586370170,82,37.73,-25.67,64.4,14.99
Drovyanaya,0,RU,1586370111,53,51.58,113.03,21.2,2.24
Buraidah,40,SA,1586369817,45,26.33,43.98,84.2,9.17
Nikol'sk,38,RU,1586370281,75,53.72,46.07,42.78,6.96
South Venice,1,US,1586370282,78,27.05,-82.42,88.0,10.29
Pleasanton,1,US,1586370208,67,37.66,-121.87,63.0,2.13
Te Anau,100,NZ,1586369870,73,-45.42,167.72,43.93,3.42
Siavonga,44,ZM,1586370282,54,-16.54,28.71,79.84,3.89
Beringovskiy,0,RU,1586370089,87,63.05,179.32,7.52,4.21
Shamkhal,0,RU,1586370283,60,43.06,47.34,42.8,22.37
Liverpool,31,GB,1586370283,55,53.41,-2.98,64.99,11.41
Kastamonu Province,0,TR,1586370112,51,41.5,33.67,38.64,3.98
Straumen,40,NO,1586370284,83,63.87,11.3,39.2,23.04
Imeni Poliny Osipenko,0,RU,1586370284,94,52.42,136.49,25.02,1.01
Tahoua,99,NE,1586370284,8,14.89,5.27,105.8,2.24
Bemidji,40,US,1586370285,42,47.47,-94.88,48.2,24.16
Berlevåg,90,NO,1586369827,91,70.86,29.09,33.8,4.7
Dunedin,90,NZ,1586369704,72,-45.87,170.5,50.0,1.99
Kieta,27,PG,1586369883,79,-6.22,155.63,79.65,2.48
Narsaq,75,GL,1586369792,20,60.92,-46.05,44.6,4.7
Bubaque,0,GW,1586370047,71,11.28,-15.83,79.79,15.26
Kuching,20,MY,1586370286,94,1.55,110.33,78.8,0.92
Sokolo,0,ML,1586370286,7,14.73,-6.12,102.04,8.05
Tungor,0,RU,1586370286,97,53.38,142.96,19.71,10.65
Bloomfield,75,US,1586370286,59,40.81,-74.19,68.0,5.82
Manakara,4,MG,1586370287,89,-22.13,48.02,75.69,7.29
Pitsunda,0,GE,1586370287,81,43.16,40.34,48.2,4.47
Barabash,75,RU,1586370287,83,43.2,131.48,33.8,6.71
Tsimmerbude,54,RU,1586370287,62,54.67,20.13,51.8,4.47
Ondjiva,27,AO,1586370288,39,-17.07,15.73,75.34,5.17
Stykkisholmur,33,IS,1586370288,91,65.08,-22.73,31.44,2.3
Coruripe,22,BR,1586370288,61,-10.13,-36.18,85.01,9.89
San Pancrazio Salentino,0,IT,1586370289,76,40.42,17.83,62.6,8.05
Aljezur,99,PT,1586369892,80,37.32,-8.8,64.0,3.6
Hambantota,63,LK,1586369937,76,6.12,81.12,81.82,6.29
Mattru,65,SL,1586370290,61,7.62,-11.83,87.93,7.25
Yong’an,90,CN,1586370290,43,39.7,113.69,38.57,7.27
San Policarpo,2,PH,1586370290,83,12.18,125.51,80.04,9.22
‘Āhuimanu,90,US,1586369897,69,21.44,-157.84,75.2,3.36
Kununurra,82,AU,1586369880,61,-15.77,128.73,77.0,11.41
Bernal,59,PE,1586370291,55,-5.45,-80.75,82.58,7.25
Abu Samrah,14,SY,1586370146,57,35.3,37.18,56.75,11.16
Amānganj,57,IN,1586370291,28,24.43,80.03,79.52,3.98
Hamilton,75,US,1586369710,53,39.18,-84.53,77.0,11.41
Okmulgee,1,US,1586370292,35,35.62,-95.96,87.8,9.17
Asău,0,RO,1586369938,27,46.43,26.4,54.0,4.7
Iskateley,95,RU,1586370292,98,67.68,53.15,24.37,10.67
Palmerston,90,AU,1586370293,83,-12.49,130.98,82.4,4.7
Luganville,26,VU,1586370293,86,-15.53,167.17,76.5,1.61
Guerrero Negro,41,MX,1586369671,51,27.98,-114.06,67.15,8.23
Mayskiy,0,RU,1586370293,19,47.69,40.1,48.0,6.71
Mariehamn,100,AX,1586370294,61,60.1,19.93,46.4,13.87
Mahon,2,ES,1586369787,63,39.89,4.27,60.8,5.82
Pemangkat,64,ID,1586369913,85,1.17,108.97,77.52,7.49
Xai-Xai,72,MZ,1586370294,72,-25.05,33.64,72.37,11.48
Prince George,1,CA,1586370025,58,53.92,-122.75,28.4,5.82
Hue,83,VN,1586370019,93,16.47,107.6,71.24,4.0
Inuvik,5,CA,1586370295,51,68.35,-133.72,14.0,9.17
Ramsar,90,IR,1586369933,93,36.92,50.64,44.6,6.93
Honiara,20,SB,1586370296,94,-9.43,159.95,75.2,3.09
Dublin,1,US,1586370262,67,37.7,-121.94,64.0,1.92
Ubari,1,LY,1586370296,22,26.59,12.78,69.8,10.36
Maceió,20,BR,1586369952,66,-9.67,-35.74,86.0,8.05
Nishihara,40,JP,1586369958,68,26.18,127.76,66.2,5.82
Atherton,43,GB,1586370297,52,53.52,-2.49,64.99,3.36
Qasigiannguit,20,GL,1586369915,49,68.82,-51.19,23.0,3.36
Brae,9,GB,1586369814,70,60.4,-1.35,44.6,13.87
Itarema,81,BR,1586369842,74,-2.92,-39.92,85.53,12.21
Ixtapa,40,MX,1586369875,45,20.7,-105.2,87.01,3.36
Kulhudhuffushi,24,MV,1586370298,69,6.62,73.07,85.42,6.8
Atasū,92,KZ,1586370299,65,48.68,71.64,32.97,5.66
Saint-Joseph,13,RE,1586369839,83,-21.37,55.62,78.8,5.82
Sukhodol,100,RU,1586370299,89,53.9,51.21,38.55,6.73
Martapura,84,ID,1586370300,91,-3.42,114.85,75.83,4.07
Kathu,20,TH,1586369882,83,7.92,98.33,82.4,3.36
Bataysk,0,RU,1586370300,19,47.14,39.75,48.0,6.71
Saint-Michel-des-Saints,82,CA,1586370301,65,46.68,-73.92,37.65,3.22
Pangody,100,RU,1586370301,96,65.85,74.49,23.88,18.23
La Santisima Trinidad,20,BO,1586370100,66,-14.83,-64.9,84.2,9.17
Aklavik,20,CA,1586369500,65,68.22,-135.01,14.0,4.7
